34200.010200603,1,11885113,200,2238095,1
34200.021492333,1,11885114,10,2238102,-1
34200.023959500,1,11885115,100,2238082,1
34200.029923499,4,11885113,25,2238100,1
34200.033179019,3,11885113,175,2238100,1
34200.034152345,3,11885115,100,2238100,1
34200.050609645,2,11885114,5,2238100,-1
34200.051430428,2,11885114,2,2238100,-1
34200.060042587,1,11885116,1000,2238090,1
34200.079374739,1,11885117,10,2238112,-1
34200.083763986,3,11885117,10,2238100,-1
34200.094206232,1,11885118,100,2238094,1
34200.097352625,2,11885114,1,2238100,-1
34200.108892213,3,11885114,2,2238100,-1
34200.126140846,1,11885119,500,2238093,1
34200.134515181,1,11885120,500,2238113,-1
34200.144811227,1,11885121,100,2238119,-1
34200.153570706,7,0,0,0,0
34200.155059556,3,11885116,1000,2238100,1
34200.156718228,2,11885118,50,2238100,1
34200.161575775,1,11885122,200,2238118,-1
34200.161691250,2,11885122,100,2238100,-1
34200.175589367,1,11885123,10,2238114,-1
34200.175621873,3,11885122,100,2238100,-1
34200.189975131,1,11885124,100,2238117,-1
34200.191633779,2,11885123,5,2238100,-1
34200.216704504,1,11885125,200,2238088,1
34200.234522528,1,11885126,200,2238097,1
34200.251451987,2,11885120,250,2238100,-1
34200.252826135,2,11885123,2,2238100,-1
34200.260326989,4,11885121,25,2238101,-1
34200.313613429,1,11885127,25,2238104,-1
34200.314275104,2,11885121,37,2238100,-1
34200.314347272,1,11885128,200,2238098,1
34200.315082202,2,11885121,19,2238100,-1
34200.322830850,4,11885128,25,2238102,1
34200.339307285,1,11885129,100,2238112,-1
34200.345600086,2,11885129,50,2238100,-1
34200.346636128,1,11885130,25,2238092,1
34200.354320995,1,11885131,200,2238108,-1
34200.355104773,4,11885119,10,2238103,1
34200.373185343,4,11885121,10,2238102,-1
34200.379750766,4,11885120,10,2238101,-1
34200.382832377,1,11885132,100,2238118,-1
34200.389500768,1,11885133,200,2238081,1
34200.390129714,1,11885134,500,2238117,-1
34200.397703929,2,11885124,50,2238100,-1
34200.398413749,4,11885131,10,2238104,-1
34200.401240234,2,11885132,50,2238100,-1
34200.411951368,1,11885135,100,2238107,-1
34200.415722825,1,11885136,50,2238115,-1
34200.429660628,1,11885137,100,2238097,1
34200.436710492,1,11885138,50,2238092,1
34200.438427238,3,11885138,50,2238100,1
34200.479687640,2,11885136,25,2238100,-1
34200.483245519,4,11885123,3,2238096,-1
34200.496809639,1,11885139,25,2238089,1
34200.506867362,1,11885140,100,2238097,1
34200.524548656,1,11885141,10,2238091,1
34200.530379672,2,11885121,4,2238100,-1
34200.531161924,4,11885137,10,2238100,1
34200.539896861,1,11885142,500,2238112,-1
34200.555799211,4,11885126,25,2238105,1
34200.556883904,4,11885133,100,2238097,1
34200.582888941,1,11885143,10,2238086,1
34200.596228407,4,11885142,50,2238098,-1
34200.599331853,1,11885144,25,2238084,1
34200.616291980,1,11885145,10,2238092,1
34200.618437904,4,11885145,10,2238105,1
34200.625559281,3,11885130,25,2238100,1
34200.653567047,4,11885125,25,2238099,1
34200.653957129,1,11885146,100,2238114,-1
34200.661119712,2,11885128,87,2238100,1
34200.661573730,2,11885139,12,2238100,1
34200.673184688,3,11885126,175,2238100,1
34200.677713738,2,11885132,25,2238100,-1
34200.687472962,1,11885147,50,2238117,-1
34200.692722087,1,11885148,100,2238093,1
34200.720916991,4,11885142,25,2238101,-1
34200.728856333,1,11885149,100,2238315,-1
34200.740114952,3,11885149,100,2238300,-1
34200.753431553,1,11885150,200,2238303,-1
34200.767340126,1,11885151,10,2238295,1
34200.770148416,3,11885120,240,2238300,-1
34200.776225750,2,11885147,25,2238300,-1
34200.788144686,1,11885152,200,2238296,1
34200.790614453,2,11885137,45,2238300,1
34200.791129685,3,11885137,45,2238300,1
34200.792560760,2,11885142,212,2238300,-1
34200.801610617,4,11885144,25,2238303,1
34200.807174789,1,11885153,100,2238284,1
34200.821109058,1,11885154,25,2238308,-1
34200.821915557,1,11885155,10,2238318,-1
34200.823550523,1,11885156,100,2238297,1
34200.827568463,1,11885157,500,2238313,-1
34200.836341072,4,11885152,25,2238302,1
34200.836400207,3,11885155,10,2238300,-1
34200.858623312,2,11885151,5,2238300,1
34200.866522808,1,11885158,100,2238291,1
34200.866817352,2,11885135,50,2238300,-1
34200.879697470,4,11885146,25,2238301,-1
34200.888659723,1,11885159,200,2238305,-1
34200.890665340,1,11885160,50,2238311,-1
34200.911838019,4,11885154,10,2238296,-1
34200.918192593,1,11885161,100,2238308,-1
34200.933390076,3,11885140,100,2238300,1
34200.935613523,1,11885162,100,2238284,1
34200.943913956,2,11885152,87,2238300,1
34200.945750650,3,11885129,50,2238300,-1
34200.960792059,1,11885163,100,2238290,1
34200.984654569,4,11885136,10,2238305,-1
34200.987436500,1,11885164,200,2238281,1
34200.991701402,1,11885165,200,2238301,-1
34201.008979728,4,11885160,25,2238301,-1
34201.010917237,2,11885165,100,2238300,-1
34201.025817863,3,11885146,75,2238300,-1
34201.029708437,4,11885147,25,2238298,-1
34201.043590450,2,11885153,50,2238300,1
34201.043881649,1,11885166,200,2238288,1
34201.048041938,3,11885148,100,2238300,1
34201.056156540,1,11885167,100,2238286,1
34201.070351522,2,11885165,50,2238300,-1
34201.076296757,1,11885168,50,2238308,-1
34201.085008869,2,11885161,50,2238300,-1
34201.141941639,1,11885169,50,2238309,-1
34201.144562277,1,11885170,25,2238293,1
34201.151182611,4,11885167,25,2238296,1
34201.169057997,1,11885171,100,2238301,-1
34201.170411418,1,11885172,100,2238305,-1
34201.184386677,1,11885173,100,2238316,-1
34201.188552534,1,11885174,200,2238304,-1
34201.193672587,2,11885124,25,2238300,-1
34201.195318115,4,11885127,25,2238296,-1
34201.203484222,2,11885174,100,2238300,-1
34201.206042014,1,11885175,200,2238310,-1
34201.252125026,2,11885174,50,2238300,-1
34201.284341015,3,11885175,200,2238300,-1
34201.286711224,1,11885176,10,2238282,1
34201.286738017,2,11885152,44,2238300,1
34201.287069861,1,11885177,100,2238303,-1
34201.312828383,2,11885139,6,2238300,1
34201.318364652,2,11885151,2,2238300,1
34201.335887992,1,11885178,200,2238320,-1
34201.344309269,1,11885179,500,2238313,-1
